case,DiceCoefficient,HDCoefficient,score
MASK_130.nrrd,0.687616422136576,85.32877591996736,-84.64115949783078
MASK_131.nrrd,0.15273417536686865,130.70960178961604,-130.55686761424917
MASK_132.nrrd,0.810343879893176,29.8496231131986,-29.039279233305425
MASK_133.nrrd,0.0,232.13789005675054,-232.13789005675054
MASK_134.nrrd,0.0,146.5127980757995,-146.5127980757995
MASK_135.nrrd,0.8342135330087137,17.11724276862369,-16.283029235614976
MASK_136.nrrd,0.8202302344033674,21.236760581595302,-20.416530347191934
MASK_137.nrrd,0.0,271.01475974566404,-271.01475974566404
MASK_138.nrrd,0.8248450057405281,14.317821063276353,-13.492976057535826
MASK_139.nrrd,0.0,128.5418219880207,-128.5418219880207
MASK_140.nrrd,0.24771582869749117,109.90905331227269,-109.6613374835752
MASK_141.nrrd,0.0,120.48236385463227,-120.48236385463227
MASK_142.nrrd,0.890444840912989,21.236760581595302,-20.346315740682314
MASK_143.nrrd,0.9022838385406471,17.291616465790582,-16.389332627249935
MASK_144.nrrd,0.0,177.73575892318348,-177.73575892318348
MASK_145.nrrd,0.8616593035843788,32.264531609803356,-31.402872306218978
MASK_146.nrrd,0.36823707059267646,25.67099530598687,-25.302758235394194
MASK_147.nrrd,0.5760318431785997,68.30812543175226,-67.73209358857366
MASK_148.nrrd,0.78113766999619,34.49637662132068,-33.71523895132449
MASK_149.nrrd,0.2566710819048109,60.73713855624086,-60.480467474336045
MASK_150.nrrd,0.6511980603798084,37.429934544425805,-36.778736484046
MASK_151.nrrd,0.4974784180391067,37.21558813185679,-36.71810971381768
MASK_152.nrrd,0.03028547918233002,145.85266538531272,-145.82237990613038
MASK_153.nrrd,0.6847282165590803,48.91829923454004,-48.23357101798096
MASK_154.nrrd,0.8348796255805983,26.115129714401192,-25.280250088820594
MASK_155.nrrd,0.8957984556724905,9.219544457292887,-8.323746001620396
MASK_156.nrrd,0.8714609446257136,22.02271554554524,-21.151254600919525
MASK_157.nrrd,0.0,52.55473337388365,-52.55473337388365
MASK_158.nrrd,0.7679249826758341,26.153393661244042,-25.38546867856821
MASK_159.nrrd,0.8898541589719968,31.78049716414141,-30.890643005169412
MASK_160.nrrd,0.5012077930234887,71.89575787207477,-71.39455007905129
MASK_161.nrrd,0.0,106.02358228243375,-106.02358228243375
MASK_162.nrrd,0.0,197.6334991847283,-197.6334991847283
MASK_163.nrrd,0.7566018676946547,21.095023109728988,-20.338421242034332
MASK_164.nrrd,0.0,298.7406902315116,-298.7406902315116
MASK_165.nrrd,0.0,197.75489880152148,-197.75489880152148
MASK_166.nrrd,0.0,247.34389016104683,-247.34389016104683
MASK_167.nrrd,0.744031804392592,21.470910553583888,-20.726878749191297
MASK_168.nrrd,0.0,293.027302482209,-293.027302482209
MASK_169.nrrd,0.3232291058378015,16.30950643030009,-15.986277324462288
MASK_170.nrrd,0.65897287441346,26.038433132583073,-25.379460258169612
MASK_171.nrrd,0.48185380140103695,40.11234224026316,-39.63048843886212
MASK_172.nrrd,0.6738084827284654,52.15361924162119,-51.479810758892725
MASK_173.nrrd,0.7828032272430686,9.643650760992955,-8.860847533749887
MASK_174.nrrd,0.7790121909179228,36.40054944640259,-35.62153725548467
MASK_175.nrrd,0.8576562574775929,414.87467987333235,-414.0170236158548
MASK_176.nrrd,1.740507706097869e-05,93.89888178247918,-93.89886437740212
MASK_177.nrrd,0.0,134.34656675925888,-134.34656675925888
MASK_178.nrrd,0.34132574100099344,45.83666654546336,-45.495340804462366
MASK_179.nrrd,0.5231250422342141,43.9089968002003,-43.385871757966086
MASK_180.nrrd,0.8951191276420942,40.95119045888654,-40.056071331244446
MASK_181.nrrd,0.38560507469432603,45.36518488885502,-44.979579814160694
MASK_182.nrrd,0.8507781368845969,27.477263328068172,-26.626485191183576
MASK_183.nrrd,0.40109071653742046,112.16505694733989,-111.76396623080247
MASK_184.nrrd,0.8248437633764233,38.39270764090493,-37.56786387752851
MASK_185.nrrd,0.8164415721785793,29.748949561287034,-28.932507989108455
MASK_186.nrrd,0.8577861206439874,20.85665361461421,-19.998867493970224
MASK_187.nrrd,0.7827923540704731,22.0,-21.217207645929527
MASK_188.nrrd,0.5493703402042478,28.722813232690143,-28.173442892485895
MASK_189.nrrd,0.3487976074994387,67.20119046564577,-66.85239285814633
MASK_190.nrrd,0.8797540984834525,23.769728648009426,-22.889974549525974
MASK_191.nrrd,0.7531768541885343,21.42428528562855,-20.671108431440015
MASK_192.nrrd,0.8754003282637701,17.916472867168917,-17.041072538905148
MASK_193.nrrd,0.5695839073210403,21.236760581595302,-20.667176674274263
MASK_194.nrrd,0.0,149.08386901338454,-149.08386901338454
MASK_195.nrrd,0.941568508304509,22.40535650240808,-21.46378799410357
MASK_196.nrrd,0.0,123.62847568420473,-123.62847568420473
MASK_197.nrrd,0.0,149.9766648515695,-149.9766648515695
MASK_198.nrrd,0.0,188.34808201837362,-188.34808201837362
MASK_199.nrrd,0.937963160683639,20.223748416156685,-19.285785255473044
zqc,0.4890212904866121,81.73666026680371,-81.24763897631713
